transaction_id,transaction_date,description,category,transaction_type,amount,payment_method
60,2024-08-30,Bayar kos,Tempat Tinggal,Pengeluaran,885780.0,Tunai
61,2024-08-09,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,443652.0,Transfer Bank
62,2024-08-29,Kirim uang keluarga,Transfer Teman/Keluarga,Pengeluaran,77331.0,Transfer Bank
63,2024-08-25,Cloud storage,Pembayaran Langganan,Pengeluaran,50755.0,Transfer Bank
64,2024-08-28,Makan malam restoran,Pulsa & Internet,Pengeluaran,333904.0,Tunai
65,2024-08-08,Ojek online,Transportasi,Pengeluaran,81138.0,Kartu Debit
66,2024-08-15,Cloud storage,Pembayaran Langganan,Pengeluaran,54245.0,Transfer Bank
67,2024-08-15,Ojek online,Transportasi,Pengeluaran,86413.0,Kartu Debit
68,2024-08-23,Beli makan siang,Makanan & Minuman,Pengeluaran,184759.0,Tunai
69,2024-08-27,Tagihan internet,Pulsa & Internet,Pengeluaran,50417.0,Kartu Debit
70,2024-08-07,Netflix,Pembayaran Langganan,Pengeluaran,27977.0,Kartu Debit
71,2024-08-14,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,425528.0,Tunai
72,2024-08-24,Netflix,Makanan & Minuman,Pengeluaran,28759.0,Kartu Kredit
74,2024-08-05,Langganan streaming,Hiburan,Pengeluaran,48447.0,Transfer Bank
75,2024-08-15,Paket data,Pulsa & Internet,Pengeluaran,64879.0,Kartu Debit
76,2024-08-08,Gym membership,Pembayaran Langganan,Pengeluaran,200702.0,E-Wallet
77,2024-08-10,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,259423.0,E-Wallet
78,2024-08-03,Tempat Tinggal,Tempat Tinggal,Pengeluaran,946980.0,Transfer Bank
79,2024-08-24,Gym membership,Pembayaran Langganan,Pengeluaran,200383.0,Kartu Debit
80,2024-08-06,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,431623.0,Tunai
81,2024-08-14,Spotify Premium,Pembayaran Langganan,Pengeluaran,26902.0,Kartu Kredit
82,2024-08-07,Transportasi,Transportasi,Pengeluaran,48599.0,Tunai
83,2024-08-11,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,134071.0,Transfer Bank
84,2024-08-19,Jajan,Makanan & Minuman,Pengeluaran,54286.0,Transfer Bank
85,2024-08-21,Spotify Premium,Pembayaran Langganan,Pengeluaran,29089.0,Kartu Kredit
86,2024-08-01,Makan malam restoran,Makanan & Minuman,Pengeluaran,358900.0,Kartu Kredit
87,2024-08-28,Langganan streaming,Hiburan,Pengeluaran,43631.0,Kartu Debit
88,2024-08-11,Paket data,Pulsa & Internet,Pengeluaran,118424.0,Transfer Bank
89,2024-08-01,Taksi,Transportasi,Pengeluaran,58106.0,Tunai
90,2024-08-03,Pulsa prabayar,Pulsa & Internet,Pengeluaran,89843.0,Kartu Kredit
91,2024-08-25,Spotify Premium,Pembayaran Langganan,Pengeluaran,27542.0,E-Wallet
92,2024-08-12,Makan malam restoran,Makanan & Minuman,Pengeluaran,310376.0,E-Wallet
93,2024-08-05,Tagihan internet,Pulsa & Internet,Pengeluaran,149742.0,E-Wallet
94,2024-08-28,Kopi,Pembayaran Langganan,Pengeluaran,53325.0,Kartu Kredit
95,2024-08-07,Cloud storage,Pembayaran Langganan,Pengeluaran,51834.0,Kartu Kredit
96,2024-08-15,Iuran lingkungan,Tempat Tinggal,Pengeluaran,50451.0,Transfer Bank
3501,2024-08-22,Tiket KRL,Transportasi,Pengeluaran,92744.0,E-Wallet
98,2024-08-19,Iuran lingkungan,Tempat Tinggal,Pengeluaran,51455.0,Transfer Bank
99,2024-08-23,Service AC kos,Tempat Tinggal,Pengeluaran,50971.0,Tunai
100,2024-08-27,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,216507.0,Transfer Bank
101,2024-08-05,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,427600.0,Kartu Kredit
102,2024-08-25,Paket data,Pulsa & Internet,Pengeluaran,104808.0,Kartu Kredit
103,2024-08-29,Iuran lingkungan,Tempat Tinggal,Pengeluaran,51378.0,Tunai
105,2024-08-22,Beli makan siang,Makanan & Minuman,Pengeluaran,115619.0,Transfer Bank
106,2024-09-16,Transfer teman,Transfer Teman/Keluarga,Pemasukan,258709.0,E-Wallet
107,2024-09-03,Beli makan siang,Makanan & Minuman,Pengeluaran,152084.0,E-Wallet
108,2024-09-17,Tagihan internet,Pulsa & Internet,Pengeluaran,60461.0,Kartu Debit
109,2024-10-22,Kirim uang keluarga,Transfer Teman/Keluarga,Pemasukan,118673.0,Kartu Debit
110,2024-10-05,Tiket KRL,Transportasi,Pengeluaran,95347.0,E-Wallet
111,2024-11-29,Kirim uang keluarga,Transfer Teman/Keluarga,Pemasukan,257189.0,Transfer Bank
112,2024-11-18,Iuran lingkungan,Tempat Tinggal,Pengeluaran,51515.0,Transfer Bank
113,2024-11-24,Pulsa prabayar,Pulsa & Internet,Pengeluaran,144050.0,Transfer Bank
114,2024-11-22,Tiket bioskop,Hiburan,Pengeluaran,43974.0,Kartu Debit
115,2024-12-14,Kirim uang keluarga,Transfer Teman/Keluarga,Pemasukan,215647.0,Kartu Debit
117,2024-12-01,Bonus,Gaji,Pemasukan,1232941.0,E-Wallet
118,2024-12-07,Bensin,Transportasi,Pengeluaran,88515.0,E-Wallet
119,2024-12-16,Belanja dapur,Makanan & Minuman,Pengeluaran,438884.0,Kartu Kredit
120,2024-12-27,Konser,Hiburan,Pengeluaran,323621.0,Kartu Kredit
121,2024-12-28,Pulsa prabayar,Pulsa & Internet,Pengeluaran,102357.0,Kartu Kredit
123,2025-01-01,Bonus,Gaji,Pemasukan,2356888.0,Kartu Debit
125,2025-01-23,Bayar kos,Tempat Tinggal,Pengeluaran,980916.0,Transfer Bank
126,2025-01-06,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,301075.0,E-Wallet
127,2025-01-20,Jajan,Makanan & Minuman,Pengeluaran,52185.0,Kartu Kredit
128,2025-01-27,Tiket KRL,Transportasi,Pengeluaran,67023.0,Kartu Debit
129,2025-01-29,Ojek online,Transportasi,Pengeluaran,50143.0,Transfer Bank
130,2025-01-06,Ojek online,Transportasi,Pengeluaran,24879.0,Tunai
131,2025-01-09,Liburan,Hiburan,Pengeluaran,414686.0,E-Wallet
132,2025-01-02,Kopi,Makanan & Minuman,Pengeluaran,40261.0,Tunai
133,2025-01-07,Beli makan siang,Makanan & Minuman,Pengeluaran,96693.0,Transfer Bank
134,2025-01-09,Gym membership,Pembayaran Langganan,Pengeluaran,200588.0,E-Wallet
135,2025-02-08,Transfer teman,Transfer Teman/Keluarga,Pemasukan,276479.0,Transfer Bank
136,2025-02-08,Cloud storage,Pembayaran Langganan,Pengeluaran,52210.0,Transfer Bank
137,2025-02-02,Tiket KRL,Hiburan,Pengeluaran,14090.0,Kartu Debit
138,2025-02-12,Service AC kos,Tempat Tinggal,Pengeluaran,50972.0,E-Wallet
139,2025-02-17,Tagihan internet,Pulsa & Internet,Pengeluaran,73484.0,E-Wallet
140,2025-02-07,Ojek online,Transportasi,Pengeluaran,68679.0,Transfer Bank
141,2025-03-17,Gaji bulanan,Gaji,Pemasukan,6341213.0,Transfer Bank
142,2025-03-19,Paket data,Pulsa & Internet,Pengeluaran,104762.0,Transfer Bank
143,2025-03-07,Bayar kos,Tempat Tinggal,Pengeluaran,932135.0,E-Wallet
144,2025-03-26,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,156128.0,Kartu Debit
145,2025-03-30,Beli makan siang,Makanan & Minuman,Pengeluaran,109695.0,Kartu Debit
146,2025-03-08,Ojek online,Transportasi,Pengeluaran,36549.0,Tunai
148,2025-03-08,Ojek online,Transportasi,Pengeluaran,81895.0,Kartu Debit
150,2025-03-01,Spotify Premium,Pembayaran Langganan,Pengeluaran,23220.0,E-Wallet
151,2025-03-27,Jajan,Makanan & Minuman,Pengeluaran,22757.0,Kartu Kredit
152,2025-03-22,Service AC kos,Tempat Tinggal,Pengeluaran,50938.0,E-Wallet
153,2025-03-18,Ojek online,Transportasi,Pengeluaran,26787.0,Transfer Bank
3502,2025-03-21,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,238654.0,Tunai
155,2025-03-24,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,124778.0,E-Wallet
157,2025-03-04,Konser,Hiburan,Pengeluaran,377133.0,Transfer Bank
158,2025-03-03,Liburan,Hiburan,Pengeluaran,463261.0,Kartu Debit
159,2025-03-20,Pulsa prabayar,Pulsa & Internet,Pengeluaran,136437.0,Kartu Kredit
160,2025-03-01,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,162198.0,Kartu Debit
161,2025-03-30,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,276919.0,Kartu Debit
162,2025-03-08,Pulsa prabayar,Pulsa & Internet,Pengeluaran,56893.0,E-Wallet
163,2025-03-10,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,95251.0,Kartu Debit
164,2025-03-24,Gym membership,Pembayaran Langganan,Pengeluaran,200062.0,Kartu Debit
165,2025-03-15,Pulsa prabayar,Pulsa & Internet,Pengeluaran,65068.0,Kartu Kredit
166,2025-03-16,Liburan,Hiburan,Pengeluaran,387064.0,E-Wallet
167,2025-03-11,Liburan,Hiburan,Pengeluaran,438957.0,Transfer Bank
168,2025-03-02,Belanja kebutuhan pokok,Belanja Bulanan,Pengeluaran,244136.0,E-Wallet
169,2025-03-16,Belanja dapur,Makanan & Minuman,Pengeluaran,516403.0,Kartu Debit
170,2025-04-08,Gaji bulanan,Gaji,Pemasukan,6154994.0,Transfer Bank
171,2025-04-25,Kirim uang keluarga,Transfer Teman/Keluarga,Pengeluaran,112987.0,Kartu Debit
172,2025-04-26,Belanja kebutuhan pokok,Belanja Bulanan,Pengeluaran,477135.0,E-Wallet
173,2025-04-17,Bayar kos,Tempat Tinggal,Pengeluaran,941726.0,E-Wallet
174,2025-04-16,Taksi,Transportasi,Pengeluaran,39404.0,Tunai
175,2025-04-13,Tagihan internet,Pulsa & Internet,Pengeluaran,101214.0,Kartu Debit
176,2025-04-24,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,446658.0,Tunai
177,2025-04-16,Tagihan internet,Pulsa & Internet,Pengeluaran,137303.0,Kartu Debit
178,2025-04-18,Makan malam restoran,Makanan & Minuman,Pengeluaran,355930.0,Kartu Debit
179,2025-04-28,Iuran lingkungan,Tempat Tinggal,Pengeluaran,51667.0,Transfer Bank
180,2025-04-09,Kirim uang keluarga,Transfer Teman/Keluarga,Pengeluaran,271483.0,E-Wallet
181,2025-04-01,Pakaian baru,Belanja Bulanan,Pengeluaran,475311.0,Tunai
182,2025-04-15,Pakaian baru,Belanja Bulanan,Pengeluaran,483759.0,Tunai
183,2025-04-23,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,403421.0,E-Wallet
184,2025-04-11,Langganan streaming,Hiburan,Pengeluaran,48896.0,Kartu Kredit
185,2025-04-13,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,276213.0,Transfer Bank
186,2025-04-25,Tiket KRL,Transportasi,Pengeluaran,29648.0,Lainnya
187,2025-04-08,Tagihan internet,Pulsa & Internet,Pengeluaran,115915.0,Kartu Debit
188,2025-04-27,Iuran lingkungan,Tempat Tinggal,Pengeluaran,50616.0,Kartu Debit
189,2025-04-10,Jajan,Makanan & Minuman,Pengeluaran,17615.0,Kartu Kredit
190,2025-04-26,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,234060.0,Kartu Kredit
191,2025-05-22,Gaji bulanan,Gaji,Pemasukan,6269854.0,Kartu Debit
192,2025-05-11,Kirim uang keluarga,Transfer Teman/Keluarga,Pemasukan,296183.0,Kartu Debit
193,2025-05-16,Kirim uang keluarga,Transfer Teman/Keluarga,Pemasukan,175408.0,Kartu Debit
194,2025-05-03,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,254703.0,Kartu Debit
195,2025-05-20,Service AC kos,Tempat Tinggal,Pengeluaran,50927.0,Kartu Debit
196,2025-05-06,Tiket bioskop,Hiburan,Pengeluaran,46246.0,Transfer Bank
197,2025-05-24,Bayar kos,Tempat Tinggal,Pengeluaran,889906.0,Kartu Debit
198,2025-05-10,Netflix,Pembayaran Langganan,Pengeluaran,20899.0,Kartu Debit
199,2025-05-23,Iuran lingkungan,Tempat Tinggal,Pengeluaran,50715.0,Tunai
200,2025-05-13,Bensin,Makanan & Minuman,Pengeluaran,18064.0,E-Wallet
201,2025-05-14,Jajan,Makanan & Minuman,Pengeluaran,63803.0,E-Wallet
202,2025-05-04,Bayar kos,Tempat Tinggal,Pengeluaran,863367.0,E-Wallet
203,2025-05-21,Konser,Hiburan,Pengeluaran,418206.0,E-Wallet
204,2025-05-22,Paket data,Pulsa & Internet,Pengeluaran,108255.0,Kartu Kredit
205,2025-05-24,Kirim uang keluarga,Transfer Teman/Keluarga,Pengeluaran,299257.0,E-Wallet
206,2025-05-30,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,183757.0,Transfer Bank
207,2025-05-03,Tiket bioskop,Hiburan,Pengeluaran,38688.0,Kartu Kredit
208,2025-05-18,Jajan,Makanan & Minuman,Pengeluaran,13405.0,E-Wallet
209,2025-05-29,Ojek online,Transportasi,Pengeluaran,71596.0,Tunai
210,2025-05-15,Pulsa prabayar,Pulsa & Internet,Pengeluaran,65789.0,E-Wallet
211,2025-05-29,Kirim uang keluarga,Transfer Teman/Keluarga,Pengeluaran,284355.0,Kartu Debit
212,2025-05-09,Tiket KRL,Transportasi,Pengeluaran,68134.0,Tunai
213,2025-05-21,Cloud storage,Pembayaran Langganan,Pengeluaran,52959.0,E-Wallet
214,2025-05-03,Liburan,Hiburan,Pengeluaran,364619.0,Kartu Kredit
215,2025-05-15,Taksi,Transportasi,Pengeluaran,47666.0,E-Wallet
216,2025-05-18,Bayar kos,Tempat Tinggal,Pengeluaran,901293.0,Transfer Bank
217,2025-05-06,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,151635.0,Kartu Debit
219,2025-06-11,Kirim uang keluarga,Transfer Teman/Keluarga,Pemasukan,290436.0,E-Wallet
220,2025-06-18,Bonus,Gaji,Pemasukan,2382728.0,E-Wallet
221,2025-06-28,Transfer teman,Transfer Teman/Keluarga,Pemasukan,75836.0,Kartu Debit
222,2025-06-20,Taksi,Transportasi,Pengeluaran,32337.0,Tunai
223,2025-06-27,Pakaian baru,Belanja Bulanan,Pengeluaran,295161.0,Kartu Kredit
224,2025-06-21,Jajan,Makanan & Minuman,Pengeluaran,17221.0,Transfer Bank
225,2025-06-20,Pulsa prabayar,Pulsa & Internet,Pengeluaran,93206.0,Kartu Debit
226,2025-06-18,Netflix,Makanan & Minuman,Pengeluaran,28974.0,Transfer Bank
227,2025-06-15,Langganan streaming,Hiburan,Pengeluaran,41932.0,Transfer Bank
228,2025-06-04,Gym membership,Pembayaran Langganan,Pengeluaran,200320.0,Kartu Kredit
229,2025-06-01,Makan malam restoran,Makanan & Minuman,Pengeluaran,729224.0,E-Wallet
230,2025-06-05,Ojek online,Transportasi,Pengeluaran,39036.0,Transfer Bank
231,2025-06-02,Pulsa prabayar,Pulsa & Internet,Pengeluaran,56572.0,Kartu Debit
232,2025-06-11,Bayar kos,Tempat Tinggal,Pengeluaran,973696.0,E-Wallet
233,2025-07-26,Gaji bulanan,Gaji,Pemasukan,6059336.0,Kartu Debit
234,2025-07-24,Kopi,Makanan & Minuman,Pengeluaran,68321.0,E-Wallet
235,2025-07-26,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,106913.0,E-Wallet
236,2025-07-25,Paket data,Pulsa & Internet,Pengeluaran,59808.0,Kartu Debit
237,2025-07-17,Makan malam restoran,Makanan & Minuman,Pengeluaran,502616.0,Kartu Kredit
238,2025-07-25,Konser,Hiburan,Pengeluaran,388904.0,Kartu Debit
239,2025-07-23,Tagihan internet,Pulsa & Internet,Pengeluaran,89646.0,E-Wallet
240,2025-07-11,Service AC kos,Tempat Tinggal,Pengeluaran,50703.0,E-Wallet
241,2025-07-21,Liburan,Hiburan,Pengeluaran,460354.0,Kartu Kredit
242,2025-07-23,Tiket KRL,Transportasi,Pengeluaran,51091.0,E-Wallet
243,2025-07-01,Langganan streaming,Hiburan,Pengeluaran,46697.0,Kartu Debit
244,2025-07-09,Makan malam restoran,Makanan & Minuman,Pengeluaran,277304.0,E-Wallet
245,2025-07-23,Netflix,Pembayaran Langganan,Pengeluaran,24868.0,Kartu Debit
246,2025-07-02,Konser,Hiburan,Pengeluaran,412537.0,E-Wallet
247,2025-07-19,Jajan,Makanan & Minuman,Pengeluaran,25295.0,E-Wallet
248,2025-07-02,Iuran lingkungan,Tempat Tinggal,Pengeluaran,50643.0,Transfer Bank
249,2025-07-02,Pakaian baru,Belanja Bulanan,Pengeluaran,483463.0,Tunai
251,2025-07-12,Kirim uang keluarga,Transfer Teman/Keluarga,Pengeluaran,287708.0,Transfer Bank
252,2025-07-26,Kirim uang keluarga,Transfer Teman/Keluarga,Pengeluaran,145720.0,E-Wallet
253,2025-07-25,Jajan,Makanan & Minuman,Pengeluaran,43259.0,Transfer Bank
254,2025-07-14,Netflix,Pembayaran Langganan,Pengeluaran,20786.0,Transfer Bank
255,2025-07-30,Bayar kos,Tempat Tinggal,Pengeluaran,943985.0,Tunai
256,2025-07-02,Tagihan internet,Pulsa & Internet,Pengeluaran,116931.0,E-Wallet
257,2025-07-22,Tiket KRL,Transportasi,Pengeluaran,56113.0,Kartu Debit
258,2025-07-23,Pulsa prabayar,Pulsa & Internet,Pengeluaran,131845.0,Kartu Kredit
259,2025-08-02,Bonus,Gaji,Pemasukan,2316153.0,E-Wallet
260,2025-08-10,Bonus,Gaji,Pemasukan,1160869.0,Kartu Debit
261,2025-08-28,Bensin,Transportasi,Pengeluaran,69134.0,Tunai
262,2025-08-15,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,162534.0,Transfer Bank
263,2025-08-26,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,234973.0,Kartu Debit
264,2025-08-08,Paket data,Pulsa & Internet,Pengeluaran,149937.0,Kartu Debit
265,2025-08-19,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,154690.0,E-Wallet
266,2025-08-12,Belanja kebutuhan pokok,Belanja Bulanan,Pengeluaran,458251.0,Transfer Bank
267,2025-08-17,Bayar kos,Tempat Tinggal,Pengeluaran,936603.0,E-Wallet
268,2025-08-25,Pulsa prabayar,Pulsa & Internet,Pengeluaran,84677.0,Transfer Bank
269,2025-08-01,Netflix,Pembayaran Langganan,Pengeluaran,22155.0,Kartu Debit
270,2025-08-04,Bayar kos,Tempat Tinggal,Pengeluaran,856471.0,Tunai
271,2025-09-14,Kirim uang keluarga,Transfer Teman/Keluarga,Pemasukan,248043.0,E-Wallet
272,2025-09-24,Kirim uang keluarga,Transfer Teman/Keluarga,Pengeluaran,129918.0,Transfer Bank
273,2025-09-25,Kopi,Makanan & Minuman,Pengeluaran,57289.0,Tunai
3503,2025-09-07,Jajan,Makanan & Minuman,Pengeluaran,24128.0,Kartu Kredit
275,2025-10-29,Bonus,Gaji,Pemasukan,1557958.0,Transfer Bank
276,2025-10-24,Transfer teman,Transfer Teman/Keluarga,Pemasukan,150488.0,E-Wallet
277,2025-10-11,Kirim uang keluarga,Transfer Teman/Keluarga,Pengeluaran,143312.0,Kartu Debit
278,2025-10-01,Kirim uang keluarga,Transfer Teman/Keluarga,Pengeluaran,281331.0,E-Wallet
279,2025-10-10,Gym membership,Pembayaran Langganan,Pengeluaran,200611.0,E-Wallet
280,2025-10-25,Cloud storage,Pembayaran Langganan,Pengeluaran,51630.0,Kartu Debit
281,2025-10-07,Belanja kebutuhan pokok,Belanja Bulanan,Pengeluaran,418386.0,Kartu Debit
283,2025-10-08,Pulsa prabayar,Pulsa & Internet,Pengeluaran,129578.0,Transfer Bank
284,2025-10-04,Taksi,Transportasi,Pengeluaran,89889.0,Tunai
285,2025-10-24,Langganan streaming,Hiburan,Pengeluaran,45948.0,Transfer Bank
286,2025-11-20,Kirim uang keluarga,Transfer Teman/Keluarga,Pemasukan,63369.0,Kartu Debit
287,2025-11-27,Gaji bulanan,Hiburan,Pemasukan,6345415.0,Transfer Bank
288,2025-11-26,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,217629.0,Kartu Kredit
289,2025-11-14,Beli makan siang,Makanan & Minuman,Pengeluaran,148558.0,Tunai
290,2025-11-13,Beli makan siang,Makanan & Minuman,Pengeluaran,93919.0,Transfer Bank
291,2025-11-17,Ojek online,Transportasi,Pengeluaran,39067.0,Kartu Debit
292,2025-11-29,Paket data,Pulsa & Internet,Pengeluaran,141057.0,Kartu Debit
293,2025-11-01,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,415501.0,Kartu Kredit
294,2025-11-27,Gym membership,Pembayaran Langganan,Pengeluaran,200150.0,E-Wallet
295,2025-11-23,Netflix,Pembayaran Langganan,Pengeluaran,24711.0,Kartu Debit
296,2025-11-21,Jajan,Makanan & Minuman,Pengeluaran,59109.0,E-Wallet
297,2025-11-07,Paket data,Pulsa & Internet,Pengeluaran,106650.0,Transfer Bank
299,2025-11-21,Spotify Premium,Pembayaran Langganan,Pengeluaran,21395.0,Kartu Debit
301,2025-11-20,Gym membership,Pembayaran Langganan,Pengeluaran,200333.0,E-Wallet
302,2025-11-08,Netflix,Pembayaran Langganan,Pengeluaran,29836.0,Kartu Kredit
303,2025-11-16,Taksi,Transportasi,Pengeluaran,97237.0,Transfer Bank
304,2025-11-01,Bensin,Transportasi,Pengeluaran,65454.0,Tunai
305,2025-11-08,Pulsa prabayar,Pulsa & Internet,Pengeluaran,101981.0,E-Wallet
306,2025-11-12,Service AC kos,Tempat Tinggal,Pengeluaran,51358.0,E-Wallet
307,2025-11-12,Transfer teman,Transfer Teman/Keluarga,Pengeluaran,240398.0,Transfer Bank
308,2025-11-22,Perlengkapan rumah,Belanja Bulanan,Pengeluaran,453887.0,E-Wallet
309,2025-11-25,Paket data,Pulsa & Internet,Pengeluaran,116203.0,Kartu Kredit
310,2025-11-05,Pakaian baru,Belanja Bulanan,Pengeluaran,448035.0,Kartu Kredit
311,2025-11-23,Pulsa & Internet,Pulsa & Internet,Pengeluaran,68623.0,Kartu Kredit
312,2025-11-12,Iuran lingkungan,Tempat Tinggal,Pengeluaran,50862.0,E-Wallet
313,2025-11-04,Beli makan siang,Makanan & Minuman,Pengeluaran,74778.0,Kartu Debit
314,2025-11-23,Kirim uang keluarga,Transfer Teman/Keluarga,Pengeluaran,111718.0,Kartu Debit
